Job Title,Company Name,Location,Required Skills,Job Type,Job Description
Principal Software Engineer,Pakistan Single Window,Karachi,"['ASP.net', 'CCHANNEL', 'Bootstrap', '.Net', 'Rest API', 'Microsoft SQL Server', 'DOCKER', '.NET Core', 'REACT.JS']",Full Time,"Main Responsibilities:
Convert user flows, wireframes, and prototypes into quality web-based product features and user experiences.
Designing and implementing efficient and responsive user interfaces, collaborating with UX/UI designers to create visually appealing and user-friendly web applications. 
Develop web pages using React.js and use React.js workflows (Flux/Redux etc.) 
Implement state management libraries e.g. Redux · Solve complex engineering problems following performance, security, maintainability, scalability, and accessibility best practices.
Contribute to and assist in maintaining a library of reusable components, unit tests, and features that support enterprise-scale products. 
Stay up to date with industry trends, best practices, and technologies to incorporate into the Software Development Life Cycle.
Responsible for implementing coding standards and performing regular code reviews.
Lead a team of software engineers and communicated progress effectively to the management.
Participate in design and architecture processes, and work closely with the team in planning.
Be responsible for end-to-end delivery of features and provide support after launch. · Participate in planning and estimation of development tasks.
Qualification, Experience & Skills:
Bachelor’s degree in any discipline, preferred in Computer Science, Software Engineering, or a related field. 
6+ years’ experience of C#, .NET Core, ReactJS, AngularJS, Typescript, CSS, HTML, SQL Server or other RDBMS, Entity Framework Core. · Strong software engineering fundamentals in OOAD, design patterns, MVC, data structures, algorithms, etc.
Experience in Rest & GraphQL APIs development.
Experience with source control/code repo & unit testing tools.
Developed applications in various architecture (e.g. microservices etc.) · Knowledge of Golang, NoSQL, and Graph Database would be a plus.
Experience in converting monolithic applications to microservices architecture.
Experience in the implementation of the SAGA pattern
Experience of development on RabbitMQ · Strong interpersonal, written, and verbal communication skills.
Ability to perform comfortably in a fast-paced, deadline-oriented, agile environment."
Software Engineer (Node.Js),MMC,Islamabad,"['Mongodb', 'PostgreSQL', 'RESTful APIs', 'DOCKER', 'CI/CD', 'kubernate', 'Node.js']",Full Time,"MMC is seeking a skilled Software Engineer with expertise in Node.Js to join our dynamic team. In this role, you will play a crucial part in designing, developing, and maintaining high-performance web applications. The ideal candidate is proficient in building RESTful APIs and has strong experience with databases like MongoDB and PostgreSQL. This position also requires a solid understanding of CI/CD processes and experience with containerization technologies such as Docker and Kubernetes. While the role does not involve direct team management, the individual is expected to contribute to knowledge sharing and mentor junior developers, fostering a collaborative and innovative Agile environment. As a Software Engineer at MMC, you will be involved in troubleshooting and optimizing application performance, ensuring our systems operate efficiently and effectively. You will work closely with cross-functional teams to deliver high-quality software solutions that enhance user experience and meet business objectives. Your ability to adapt to challenges and provide innovative solutions will be key to your success in this role. If you are looking to grow your career in a supportive and exciting environment, we invite you to apply.
Responsibilities
Design, develop, and maintain scalable web applications using Node.js.
Build and integrate RESTful APIs to ensure seamless data exchange between systems.
Optimize application performance and troubleshoot production issues promptly.
Implement CI/CD processes to streamline development workflows and automate deployments.
Utilize Docker and Kubernetes for containerization and orchestration of applications.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure code quality through best practices, including code reviews and unit testing.
Participate in Agile ceremonies, contributing to sprint planning and retrospectives.
Mentor and support junior developers, providing guidance and sharing technical expertise.
Stay updated with industry trends and emerging technologies to bring innovative ideas to the team."
Software Support Engineer,The Shams Group,Multiple Cities,"['CCHANNEL', 'Git', 'T-SQL', '.Net', 'Software Development', 'MySQL Server']",Full Time,"Only qualified candidates with relevant skills and experience (if applicable) will be considered.
This is a full-time contract position with remote work from the Candidate's current location for USA USA-based healthcare system. Relocation is not required for this job.
Must work daily USA Central Standard Time 8-hour shift that will vary between 7 am-7 pm.
Required skillsets:
Proficient with GIT, C#, .NET, and Microsoft SQL server / TSQL for troubleshooting and submitting pull requests for hotfixes.
Technical support: Providing support for applications and systems used by end users
Monitoring: Monitoring production systems and servers, and reporting any issues that could impact the business
Incident management: Receiving and analyzing incidents and requests from users, and responding with solutions or escalating them to other teams
Client management: Communicating with clients, following up, and advocating for their issues.
Must be proficient in English language for both conversation and writing.
Root cause analysis: Working to identify the root cause of issues to prevent recurrence
Documentation: Keeping accurate documentation of the steps taken to solve issues
Software Maintenance: Ensuring the software system's smooth functioning, including performing upgrades and maintenance tasks, monitoring performance, and maintaining security standards.
Automation of business processes: Work closely with the development team to automate business processes, which helps to reduce manual effort and improve efficiency.
Must work daily USA Central Standard Time 8-hour shift that will vary between 7 am-7 pm.
Must have 3+ years' experience in software development."
Software Quality Assurance Engineer,Modisoft,Karachi,['Performance Testing'],Full Time,"Modisoft is seeking a dedicated Software Quality Assurance Engineer to join our dynamic team. The ideal candidate will have at least two years of experience in software testing methodologies, encompassing both manual and automated testing approaches. This role is critical for ensuring that our software products meet the highest standards of quality and performance. The selected individual will be responsible for developing comprehensive test plans and test cases, along with performing rigorous testing of backend services such as APIs and distributed systems. The candidate will also contribute to the construction of test environments utilizing Continuous Integration and Continuous Deployment (CICD) practices. This position provides an exciting opportunity to work in an Agile/Scrum development process, collaborating with cross-functional teams to deliver quality software solutions. Notably, this role does not involve managing a team but requires strong self-management skills and a proactive work approach.
Responsibilities
Develop, document, and implement test plans and test cases that encompass all aspects of software functionality.
Execute manual and automated tests to identify software defects and verify compliance with acceptance criteria.
Conduct performance testing to ensure system stability, scalability, and responsiveness under varying loads.
Test backend services, including APIs and distributed services, to evaluate their functionality and integration.
Create and maintain clear and concise documentation of test results, defects, and issues encountered during testing.
Collaborate with developers and product managers to understand requirements and provide constructive feedback.
Utilize automation tools such as Selenium to enhance testing efficiency and coverage.
Participate in Agile/Scrum ceremonies, providing insights on testing progress and challenges to drive product quality.
Support the construction and maintenance of test environments, simplifying the testing process through CICD.
Apply strong analytical and troubleshooting skills to identify, analyze, and resolve software issues."
Software Quality Assurance Engineer,Modisoft Pvt Ltd,Karachi,['Performance Testing'],Full Time,"Modisoft is seeking a dedicated Software Quality Assurance Engineer to join our dynamic team. The ideal candidate will have at least two years of experience in software testing methodologies, encompassing both manual and automated testing approaches. This role is critical for ensuring that our software products meet the highest standards of quality and performance. The selected individual will be responsible for developing comprehensive test plans and test cases, along with performing rigorous testing of backend services such as APIs and distributed systems. The candidate will also contribute to the construction of test environments utilizing Continuous Integration and Continuous Deployment (CICD) practices. This position provides an exciting opportunity to work in an Agile/Scrum development process, collaborating with cross-functional teams to deliver quality software solutions. Notably, this role does not involve managing a team but requires strong self-management skills and a proactive work approach.
Responsibilities
Develop, document, and implement test plans and test cases that encompass all aspects of software functionality.
Execute manual and automated tests to identify software defects and verify compliance with acceptance criteria.
Conduct performance testing to ensure system stability, scalability, and responsiveness under varying loads.
Test backend services, including APIs and distributed services, to evaluate their functionality and integration.
Create and maintain clear and concise documentation of test results, defects, and issues encountered during testing.
Collaborate with developers and product managers to understand requirements and provide constructive feedback.
Utilize automation tools such as Selenium to enhance testing efficiency and coverage.
Participate in Agile/Scrum ceremonies, providing insights on testing progress and challenges to drive product quality.
Support the construction and maintenance of test environments, simplifying the testing process through CICD.
Apply strong analytical and troubleshooting skills to identify, analyze, and resolve software issues."
Full Stack Software Engineer,SZABIST - Islamabad Campus,Islamabad,"['ASP.net', 'CCHANNEL', 'MS SQL', 'MVC']",Full Time,"We are looking for a skilled & proactive “Full Stack Software Engineer”. 
Main Duties and Responsibilities:
Front and Back end development.
Analyzing, Designing, and developing new software.
Integrate new software components in functional (existing) software system.
Develop and implement software verification and validation plans.
Database Management and optimization of database queries, for quick and efficient reports.
Preferably, assist in Windows Server management and implement security measures.
Provide technical support, troubleshooting, and maintenance for all developed applications.
 Required Skills-set:
Proficiency in ASP.Net and MVC-based development tools.
Strong expertise in Microsoft SQL Server, including PL/SQL and query writing for customized reports in SQL Server Reporting Services (SSRS).
Excellent UI/UX design skills with a focus on quality coding practices and well-documented code.
Hands-on experience with HTML5, CSS3, jQuery, and JavaScript.
Preferably, experience in server management.
Ability and eagerness to learn and adapt to the latest technologies and tools.
Stay up-to-date with the latest software trends, techniques, and technologies."
Software Quality Assurance Engineer,Modisoft Private Limited,Karachi,"['Performance Testing', 'Regression Testing', 'Load Testing', 'Python']",Full Time,"Modisoft Private Limited is seeking a detail-oriented and motivated Software Quality Assurance Engineer with a minimum of 2 years of experience in software testing methodologies, both manual and automated. This role is critical in ensuring the delivery of high-quality software products by performing thorough testing of backend services such as APIs and distributed systems. The successful candidate will possess strong analytical and troubleshooting skills, along with proficiency in tools and programming languages relevant to testing. The ideal candidate will contribute to the development and implementation of clear and comprehensive test plans and test cases, thereby enhancing the overall quality and performance of our software solutions. As a QA Engineer, you will be an integral part of the Agile/Scrum development process, collaborating closely with developers and product managers to identify testing needs and continuous improvement areas. You will have the opportunity to utilize your skills in performance testing and load testing while ensuring that automated testing tools are effectively integrated into our CI/CD pipelines. This role requires a proactive work style, strong interpersonal skills, and a commitment to excellence in software quality assurance. Although this position does not involve managing a team, you will work independently and collaboratively to uphold our company standards in software development.
Responsibilities
Develop, document, and manage comprehensive test plans and test cases to ensure quality control in software applications.
Execute manual and automated testing, including regression, load, and performance testing, to verify software functionality and performance under various scenarios.
Perform testing on backend services, such as APIs and distributed systems, ensuring their reliability and efficiency.
Utilize programming skills, particularly in Python or Java, to create custom test scripts and automation solutions.
Collaborate with the development team during the Agile/Scrum process to ensure timely and effective issue resolution.
Work closely with stakeholders to understand project requirements and translate them into effective testing strategies.
Assist in developing test environments and maintaining CI/CD pipelines to facilitate continuous integration and deployment.
Identify, document, and track software defects, ensuring appropriate follow-up and resolution.
Conduct root cause analysis of identified issues and contribute to continuous improvement of testing processes and tools.
Develop and execute performance tests to identify and mitigate bottlenecks within the application.
Provide clear and concise reporting on test results and quality metrics to project stakeholders.
Stay updated on industry trends and best practices in software testing, and recommend improvements to existing processes."
Software Quality Assurance Engineer,Zam Software Solutions,Islamabad,"['Software Quality Review', 'Software Quality Management', 'Software Life Cycle Testing', 'Automated Software Command']",Full Time," The ideal candidate will be an expert in Automation and Manual Testing SQA Engineer responsible for testing the software projects and/or final product. SQA understands the development workflows, frameworks, and methodologies. Designing and implementing tests, debugging, and defining corrective actions. Review system requirements and track quality assurance metrics (e.g. defect densities and open defect counts).
Required Qualifications And Skills
University degree in Computer Science or related discipline.
1 year of formal QA/testing experience, working on customer-facing enterprise-level software solutions.
Comfortable in managing multiple testing approaches from Automation to Manual testing.
Experience with Selenium Web Driver with Java/Cucumber framework (preferred).
Experience of Design Pattern - Page Object Model (preferred).
Experience of API Automation on Postman (preferred).
Experience with Microsoft SQL.
Strong familiarity with software lifecycle and quality assurance concepts, testing, approaches and planning.
Strong test documentation, management, execution, and reporting skills.
Strong ability to understand business processes and logic.
Strong communication (written and verbal), organizational & interpersonal skills.
Ability to perform comfortably in a fast-paced, deadline-oriented work environment.
Desirable
Experience with web API testing tools.
Knowledge/Experience with Javascript Scripting.
Responsibilities
Develop written test plans, test cases, and scenario matrix
Participate and maintain the QA activities, analysis, and tasks
Proactively implement best practices and sustain team standards
Verification of defects and fixes.
Defining and implementing testing strategy.
Implementing automated test framework/scripts.
Building excellent working relationships with Development and the rest of the Test. department to ensure the highest possible quality.
Review requirements specifications and technical design documents to provide timely and meaningful feedback.
Create detailed, comprehensive and well-structured test plans and test cases.
Estimate, prioritize, plan, and coordinate testing activities.
Perform extensive manual and automated testing on different versions and able to maintain proper documentation.
Design, develop and execute automation scripts on different releases.
Create concise, easily understandable defect reports.
Coordinate/participate in meetings with the on-shore team on day to day basis and provide active feedback.
Perform any other responsibilities assigned by the on-shore Managers."
Senior Frontend Software Engineer,Rayymen Technologies Private Limited,Multiple Cities,"['JavaScript', 'Git', 'CSS3', 'HTML', 'React JS', 'Frontend Development', 'Frontend Coding', 'Next JS']",Full Time,"We are seeking a Senior Frontend Software Engineer with strong expertise in Next.js.
You will collaborate with front-end developers, designers, and other stakeholders to create innovative, user-friendly, and high-performance web solutions that meet our client's specific needs and requirements.
Responsibilities
Writing clean, maintainable, and well-structured code, adhering to best practices and industry standards for Next.js development.
Designing, developing, and implementing web applications using Next.js and related front-end technologies, such as React, HTML, CSS, and JavaScript.
Create effective, reusable code and libraries
Configure front-end and back-end validations
Performing thorough testing and debugging of Next.js applications to ensure optimal functionality, reliability, and security.
Optimizing web applications for maximum performance, compatibility, and responsiveness across various platforms and devices.
Identify and troubleshoot interface software and application issues
Run unit and integration testing of the application to ensure responsiveness of the user interface design
Keep documentation of application updates and monitor application performance
Staying up to date with the latest advancements in Next.js, React, and front-end web development technologies, and identifying opportunities to enhance existing applications or create new ones.
Requirements:
Bachelor’s degree in computer science, information technology, or a similar field, with 5+ years of experience.
Proficiency in NextJS, React.js, Node.js, RESTful web services, HTML, CSS, etc.
Extensive experience with JavaScript and EcmaScript6, React.js workflows like Flux or Redux
Profound experience in developing next-generation scalable web applications
Knowledge of mobile-first responsive design and implementation
Strong understanding of data structures, algorithms, object-oriented designs and patterns
Understanding of database technologies like SQL or NoSQL
Knowledge of version control systems, such as Git, SVN etc.
Familiarity with programming languages like Python, Java, Go, Ruby, etc."
Software Quality Assurance Engineer,E2E Worx,Lahore,"['Software Quality Review', 'Quality Improvement', 'Software Quality', 'Software Quality Checking', 'Software Quality Assurance']",Full Time,"The role involves daily tasks such as Manual Testing, Software Development, and ensuring Software Quality Assurance standards are met. The Engineer will be responsible for performing various types of testing including Black-box testing (Functional, GUI, Data-Driven, Navigational, and Validation) using the latest QA/QC Tools.
Qualifications
Software Quality, Quality Assurance, and Software Quality Assurance skills
Experience in Manual Testing and Software Development
Proficiency in using QA/QC Tools for testing
Knowledge of various testing techniques and methodologies
Strong problem-solving and analytical skills
Attention to detail and ability to meet tight deadlines
Bachelor’s degree in Computer Science or related field"
Software Quality Assurance Engineer,Musketeers Tech,Lahore,"['Jira Configuration', 'Manual Testing', 'Selenium', 'Test Automation', 'JMeter', 'Performance Testing', 'Regression Testing', 'Automated Testing', 'Selenium WebDriver', 'Quality Assurance']",Full Time,"Musketeers Tech is seeking a detail-oriented Software Quality Assurance Engineer to enhance the quality of our innovative mobile applications. This position plays a critical role in our software development lifecycle by ensuring that our applications meet the highest standards of performance, functionality, and reliability. The ideal candidate has a solid foundation in both manual and automated testing processes, demonstrating proficiency in tools and methodologies necessary to validate product quality. As a key contributor, you will collaborate closely with development teams to identify defects, conduct regression testing, and ensure compliance with industry standards and store requirements for mobile applications.
The successful Software Quality Assurance Engineer focuses on test automation and is adept at using testing frameworks such as Selenium and Appium. You will design, implement, and execute automated test cases, while also utilizing test management tools to provide transparency into the testing process. Experience with Continuous Integration and Continuous Deployment (CI/CD) pipelines is essential to integrate testing into our development process efficiently. You will play a pivotal role in optimizing our testing strategies to ensure high-quality output prior to deployment, thereby enhancing user satisfaction and overall product excellence.
Responsibilities
 Design, implement, and execute comprehensive automated test cases for mobile applications to ensure robust functionality and performance.
Conduct manual testing as needed to supplement automated tests, ensuring a thorough examination of application features.
Utilize testing frameworks such as Selenium and Appium to streamline the automated testing processes, thereby improving productivity and accuracy.
Create and maintain clear documentations of test plans, test cases, and testing procedures to provide consistent insights into the testing process.
Monitor application compliance with submission and review guidelines set by the Apple App Store and Google Play Store, contributing to successful application launch.
Work closely with cross-functional development teams to identify defects early in the development cycle and provide actionable feedback.
Leverage testing management tools like TestRail or Zephyr to document test results and track testing progress in real-time.
Participate in regular performance testing using tools like JMeter, ensuring applications can handle expected and peak loads.
Collaborate with CI/CD teams to integrate automated testing into build processes, facilitating quick identification of issues and promoting agile development practices.
Engage in regression testing to ensure that updates and enhancements to mobile applications do not adversely affect existing functionality.
 "
Software Quality Assurance Engineer,Broadstone Technologies,Lahore,"['Agile Programming', 'Software Quality Review', 'White Box Testing', 'Software Life Cycle Testing', 'Communication Skills', 'Cross Browser Compatibility']",Full Time,"We are looking for a self- motivated person for the position of Software Quality Assurance Engineer. If you are a self-starter who is ready to explore new opportunities, we would like to talk to you. Develop your automation skills while working on exciting projects in cybersecurity, fintech, and AR. Learn from experts, collaborate with talented developers, and build a rewarding career.  
Key Responsibilities: 
Write functional tests based on system and business requirements.
Ensure quality and stability of new features and upcoming releases.  
Follow through the complete test cycle from bug identification, bug reporting, and regression cycle to bug resolution phase.
Collaborate with developers for ensuring optimum QA coverage.  
Provide regular feedback regarding the quality of implemented features.  
Key Skills:
Strong knowledge of Software QA tools and processes, including Agile/Scrum methodologies and test-driven development (TDD) practices.
Experience across mobile apps, cross-browser, and usability testing.
Hands-on experience with both white box and black-box testing. 
Proficiency in bug tracking and project management tools is essential: Jira, OpenProject, or similar.
Experience in writing clear and comprehensive test plans and test cases.
Experience with test code automation will be a plus.
Skills
Software Life Cycle Testing, Policies Implementing, Documentation
Black-Box Testing, White Box Testing, Agile Methodology
Software Quality Review, Agile, JIRA, OpenProject, Mobile App Testing
App Testing, Cross Browser, SaaS Testing, API Testing
Usability Testing, Test Cases, Test Automation    "
